HaloID,Snapshot
0,99
0,91
0,84
0,78
0,72
0,67
0,59
0,50
252455,99
260596,91
262218,84
261445,78
262017,72
266596,67
271259,59
276413,50
476245,99
485833,91
488885,84
492504,78
494306,72
505475,67
504915,59
515581,50
692426,99
696907,91
708444,84
710457,78
714649,72
718173,67
718351,59
737272,50
880597,99
889460,91
905707,84
906478,78
911203,72
915923,67
921382,59
942123,50
1068507,99
1083834,91
1099467,84
1106283,78
1114731,72
1117331,67
1125525,59
1149444,50
1263653,99
1270216,91
1289969,84
1291760,78
1300283,72
1308202,67
1318267,59
1431487,99
1443545,91
1475690,78
1479238,72
1485670,67
1496818,59
1580995,99
1587304,91
1617102,84
1630676,78
1637548,72
1647687,67
1662871,59
1693341,50
1763481,99
1791552,84
1805203,78
1812403,72
1824497,67
1844575,59
1870004,50
1921024,99
1931550,91
1954520,84
1971767,78
1982167,72
1993679,67
2008115,59
2037167,50
2069291,99
2085800,91
2106983,84
2124302,78
2136543,72
2150030,67
2167083,59
2194356,50
2213486,99
2235713,91
2249928,84
2266220,78
2278798,72
2292529,67
2312750,59
2345166,50
2380799,99
2400125,91
2412912,84
2427047,78
2435928,72
2451867,67
2468909,59
2506933,50
2507618,99
2540040,91
2560083,84
2570216,78
2570531,72
2586525,67
2608604,59
2649905,50
2637623,99
2675422,91
2697771,84
2710299,78
2710864,72
2730079,67
2749990,59
2793530,50
2771226,99
2804833,91
2825627,84
2836411,78
2835238,72
2856108,67
2883686,59
2924386,50
2892630,99
2926989,91
2952601,84
2964221,78
2962327,72
2984836,67
3013881,59
3056349,50
3020669,99
3057991,91
3080297,84
3087858,78
3081411,72
3106746,67
3145359,59
3183451,50
3135769,99
3170835,91
3196088,84
3206533,78
3204106,72
3229832,67
3267836,59
3238091,99
3272450,91
3298239,84
3312330,78
3310832,72
3341410,67
3380982,59
3425189,50
3343359,99
3378192,91
3407987,84
3421151,78
3417517,72
3447795,67
3492794,59
3540475,50
3457081,99
3502760,91
3543236,78
3535001,72
3565276,67
3609580,59
3655354,50
3556542,99
3600583,91
3637925,84
3649536,78
3633126,72
3664042,67
3656685,99
3705296,91
3741376,84
3754047,78
3732094,72
3762774,67
3818655,59
3876986,50
3758330,99
3811221,91
3846078,84
3860144,78
3842343,72
3870587,67
3929680,59
3992066,50
3863281,99
3916945,91
3976961,78
3959149,72
3984819,67
4043156,59
4106204,50
3960854,99
4015773,91
4060554,84
4084790,78
4068703,72
4091587,67
4148890,59
4212635,50
4054274,99
4113708,91
4164126,84
4190633,78
4175392,72
4198202,67
4254942,59
4152102,99
4215937,91
4268069,84
4297580,78
4281618,72
4304205,67
4360509,59
4430429,50
4254230,99
4319412,91
4365334,84
4395628,78
4385137,72
4410640,67
4468965,59
4541502,50
4356618,99
4422217,91
4471204,84
4503166,78
4493919,72
4521403,67
4582267,59
4653079,50
4461296,99
4525729,91
4578137,84
4609933,78
4604459,72
4630838,67
4689498,59
4762922,50
4561713,99
4628272,91
4679229,84
4712208,78
4710785,72
4739414,67
4799635,59
4656216,99
4720154,91
4770290,84
4807921,72
4837911,67
4899644,59
4977281,50
4753637,99
4812492,91
4863078,84
4899300,78
4903287,72
4931338,67
4998897,59
4854863,99
4911706,91
4963084,84
4998862,78
4959833,99
5006847,91
5055393,84
5091947,78
5103469,72
5136541,67
5206208,59
5059214,99
5110929,91
5161003,84
5197197,78
5205982,72
5237377,67
5307543,59
5160063,99
5263968,84
5302021,78
5309919,72
5339009,67
5412958,59
